"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
 42,3200, 3,"STEM-Related","Yes","Online","2",-1.66197172, 0.80512473,-1.36908912, 1.00230580,383
 80,3900,12,"STEM-Related","Yes","Online","3", 0.72805896,-0.90409062, 0.14365213, 1.32985001,389
 80,3900,12,"STEM-Related","Yes","Online","3", 0.72805896,-0.90409062, 0.14365213, 1.32985001,390
 80,3900,12,"STEM-Related","Yes","Online","3", 0.72805896,-0.90409062, 0.14365213, 1.32985001,391
 80,3900,12,"STEM-Related","Yes","Online","3", 0.72805896,-0.90409062, 0.14365213, 1.32985001,392
 80,3900,12,"STEM-Related","Yes","Online","3", 0.72805896,-0.90409062, 0.14365213, 1.32985001,393
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,395
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,396
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,399
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,417
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,419
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,420
 70,3750,12,"STEM-Related","Yes","Online","3", 0.52315123,-0.70700484, 0.08925005, 1.04699718,422
 70,3750,12,"STEM-Related","Yes","Online","3", 0.52315123,-0.70700484, 0.08925005, 1.04699718,423
 70,3750,12,"STEM-Related","Yes","Online","3", 0.52315123,-0.70700484, 0.08925005, 1.04699718,424
 70,3750,12,"STEM-Related","Yes","Online","3", 0.52315123,-0.70700484, 0.08925005, 1.04699718,425
 70,3750,12,"STEM-Related","Yes","Online","3", 0.52315123,-0.70700484, 0.08925005, 1.04699718,426
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,432
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,434
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,435
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,436
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,438
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,439
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,444
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,445
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,446
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,447
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,448
 60,3900,12,"Governance","Yes","Online","3", 0.58520732,-0.32818613, 0.43256455,-0.80632119,459
 60,3900,12,"Governance","Yes","Online","3", 0.58520732,-0.32818613, 0.43256455,-0.80632119,460
 42,3200, 3,"Governance","Yes","Online","2",-1.61448491, 0.98566005,-1.14056046,-0.62117491,464
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,469
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,472
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,473
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,478
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,479
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,497
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,498
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,499
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,500
